Titel,Orginaltitel,År,Regissör,Ditt betyg,Datum,IMDB#
En vattenfestival,Chahut,2005,Gilles Cuvelier,,,463046
Belfast Girls,Belfast Girls,2006,Malin Andersson,,,
Blott en afton bor jag här,Blott en afton bor jag här,2006,Tom Alandh,,,
Lindansaren,Lindansaren,2006,Tom Alandh,,,
A Tale of Two Sisters,Janghwa Hongryeon,2003,Kim Ji-woon,,,365376
Casshern,Casshern,2004,Kiriya Kazuaki,,,405821
Miami Vice,Miami Vice,2006,Michael Mann,,,430357
Xenogenesis,Xenogenesis,1978,"James Cameron, Randall Frakes",,,251488
Fullt hus,Cheaper by the Dozen,2003,Shawn Levy,,,349205
La Légende de la pierre qui tourne,La Légende de la pierre qui tourne,2006,"Mélanie Clement, Elodie Fraysse, Emilie Frezet",,,
Populärmusik från Vittula,Populärmusik från Vittula,2004,Reza Bagher,,,314524
Rocksystrar,The Banger Sisters,2002,Bob Dolman,,,280460
16 Blocks,16 Blocks,2006,Richard Donner,,,450232
Cannibal Holocaust,Cannibal Holocaust,1980,Ruggero Deodato,,,78935
Feast,Feast,2005,John Gulager,,,426459
Kiss Kiss Bang Bang,Kiss Kiss Bang Bang,2005,Shane Black,,,373469
En geishas memoarer,Memoirs of a Geisha,2005,Rob Marshall,,,397535
Mitt Super Ex,My Super Ex-Girlfriend,2006,Ivan Reitman,,,465624
Me and You and Everyone We Know,Me and You and Everyone We Know,2005,Miranda July,,,415978
"Du, jag och Dupree","You, Me and Dupree",2006,"Anthony Russo, Joe Russo",,,463034
BloodRayne,BloodRayne,2005,Uwe Boll,,,383222
The Devil's Rejects,The Devil's Rejects,2005,Rob Zombie,,,395584
Resan till Melonia,Resan till Melonia,1989,Per Åhlin,,,98189
The Youth in Us,The Youth in Us,2005,Joshua Leonard,,,438674
Other Worlds,Tooi Sekai,1997,Makoto Shinkai,,,
The Smile,Egao,2003,Makoto Shinkai,,,382660
World's Finest,World's Finest,2004,Sandy Collora,,,420324
Making the Grade,Making the Grade,2004,Corey Smith,,,409026
How They Get There,How They Get There,1997,Spike Jonze,,,351080
Kanalsimmerskan,Kanalsimmerskan,1999,Fanny Josephson,,,
Barnkalaset,Barnkalaset,2006,"Mikael Emtinger, Klaus Lyngeled",,,
Jag minns Lena Svedberg,Jag minns Lena Svedberg,2000,Carl Johan De Geer,,,418759
Sjuk-huset,Sjuk-huset,2004,Anna Erlandsson,,,
Tempo,Tempo,2002,Per Carleson,,,339769
Scen nr: 6882 ur mitt liv,Scen nr: 6882 ur mitt liv,2005,Ruben Östlund,,,
Kvinna vid grammofon,Kvinna vid grammofon,2006,"Johannes Stjärne Nilsson, Ola Simonsson",,,
Love and War,Love and War,2006,Fredrik Emilson,,,889200
Gösta och Lennart,Gösta och Lennart,2000,Babak Najafi,,,359365
"Blue, Karma, Tiger","Blue, Karma, Tiger",2006,"Mia Hulterstam, Cecilia Actis",,,1668195
Aldrig som första gången!,Aldrig som första gången!,2005,Jonas Odell,,,
Tillväxtsjukan,Tillväxtsjukan,2006,Klara Swantesson,,,
Musse Pigg i Australien,Mickey Down Under,1948,Charles A Nichols,,,40587
The Little Whirlwind,The Little Whirlwind,1941,Riley Thomson,,,33838
Semester på Hawaii,Hawaiian Holiday,1937,Ben Sharpsteen,,,28981
I drömmarnas rike,Thru the Mirror,1936,David Hand,,,28378
Klockan klickar,Clock Cleaners,1937,Ben Sharpsteen,,,28726
Jättens överman,Brave Little Tailor,1938,Bill Roberts,,,29943
Runaway,Runaway,1984,Michael Crichton,,,88024
Flicka med pärlörhänge,Girl with a Pearl Earring,2003,Peter Webber,,,335119
Huuu! så hemskt,"Bud Abbott, Lou Costello Meet Frankenstein",1948,Charles Barton,,,40068
Them,Ils,2006,"David Moreau, Xavier Palud",,,465203
Superman Returns,Superman Returns,2006,Bryan Singer,,,348150
Silent Hill,Silent Hill,2006,Christophe Gans,,,384537
Monty Python & the Holy Grail in Lego,Monty Python & the Holy Grail in Lego,2001,"Tim Drage, Tony Mines",,,353751
An American Haunting,An American Haunting,2005,Courtney Solomon,,,429573
Tusenbröder - Återkomsten,Tusenbröder - Återkomsten,2006,Erik Leijonborg,,,499586
Pirates of the Caribbean - Död mans kista,Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,,,383574
Unfaithful,Unfaithful,2002,Adrian Lyne,,,250797
Dödsjakt i S:t Petersburg,Perilous,2000,James Bruce,,,276399
Charlies änglar: Utan hämningar,Charlie's Angels: Full Throttle,2003,McG,,,305357
Bron över floden Kwai 2,Return from the River Kwai ,1988,Andrew V McLaglen,,,95985
The Alibi,The Alibi,2006,"Matt Checkowski, Kurt Mattila",,,409681
Money Train,Money Train,1995,Joseph Ruben,,,113845
Krokodiljägaren,The Crocodile Hunter: Collision Course,2002,John Stainton,,,305396
Silvermannen,Silvermannen,1996,Ulf Malmros,,,115356
Omen,The Omen,2006,John Moore (V),,,466909
På andra sidan häcken,Over the Hedge,2006,"Tim Johnson, Karey Kirkpatrick",,,327084
Att göra en pudel,Att göra en pudel,2006,Anette Winblad von Walter,,,498989
Huset vid sjön,The Lake House,2006,Alejandro Agresti,,,410297
Match Point,Match Point,2005,Woody Allen,,,416320
The Cags,Shesterenki,2005,Alexej Petrov,,,
Between You and Me,Between You and Me,2005,Patryk Rebisz,,,-1
The Devil Went Down to Georgia,The Devil Went Down to Georgia,1996,Mike Johnson,,,440267
Vad tyst det blev...,Vad tyst det blev...,2006,David Sandberg,,,932674
För barnen,För barnen,2006,David Sandberg,,,
The Wolf Man,The Wolf Man,1999,Tim Hope,,,214306
Guernica,Guernica,2002,Marcelo Ortiz,,,
Camera,Camera,2000,David Cronenberg,,,260776
Bathtime in Clerkenwell,Bathtime in Clerkenwell,2003,Alex Budovsky,,,423851
The Flying Car,The Flying Car,2002,Kevin Smith,,,311146
Music for One Apartment and Six Drummers,Music for One Apartment and Six Drummers,2001,"Ola Simonsson, Johannes Stjärne Nilsson",,,283326
They're Made Out of Meat,They're Made Out of Meat,2005,Stephen O\'Regan,,,479764
Stockholm Boogie,Stockholm Boogie,2005,"John Lindgren, Karl-Uno Lindgren",,,488853
Ice Age 2,Ice Age 2: The Meltdown,2006,Carlos Saldanha,,,438097
Frostbiten,Frostbiten,2006,Anders Banke,,,454457
Blowhard,Blowhard,1978,"Brad Caslor, Christopher Hinton",,,236028
Mr. Frog Went A-Courting,Mr. Frog Went A-Courting,1974,Evelyn Lambart,,,234274
Automania 2000,Automania 2000,1963,John Halas,,,56841
Repeat,Repete,1995,Michaela Pavlátová,,,114269
How a Mosquito Operates,How a Mosquito Operates,1912,Winsor McCay,,,2260
The Lobo Paramilitary Christmas Special,The Lobo Paramilitary Christmas Special,2002,Scott Leberecht,,,353672
Babyroussa the Babiroussa,Babyroussa the Babiroussa,1994,Vincent Patar,,,354399
When the Day Breaks,When the Day Breaks,1999,"Amanda Forbis, Wendy Tilby",,,200282
Switchcraft,Switchcraft,1994,Konstantin Bronzit,,,111336
En kväll på stan,En kväll på stan,1998,Per Carleson,,,192219
Beck - Okänd avsändare,Beck - Okänd avsändare,2001,Harald Hamrell,,,306531
Intermission in the Third Dimension,Intermission in the Third Dimension,2003,Don Hertzfeldt,,,373444
Phantom,Phantom,2001,Matthias Müller,,,411751
Scaredy Cat!,Scaredy Cat!,1988,Paul Claerhout,,,818798
The Chubbchubbs!,The Chubbchubbs!,2002,Eric Armstrong,,,331218
Syrinx,Syrinx,1965,Ryan Larkin,,,211015
Badgered ,Badgered ,2005,Sharon Colman,,,455912
Inventaire Fantome,Inventaire Fantome,2004,Franck Dion,,,446366
The Fan and the Flower,The Fan and the Flower,2005,Bill Plympton,,,469078
La Jeune fille et les nuages,La Jeune fille et les nuages,2001,Georges Schwizgebel,,,325653
Lines: Horizontal,Lines: Horizontal,1962,Norman McLaren,,,56185
Sirene,Sirene,1968,Raoul Servais,,,262005
Ritterschlag,Ritterschlag,2003,Sven Martin,,,391429
Livet i ett hyreshus,Flatlife,2004,Jonas Geirnaert,,,408786
Stones,Kövek - Stones,2000,Ferenc Cakó,,,286775
Sex and Violence,Sex and Violence,1997,Bill Plympton,,,142833
Voyage to Next,Voyage to Next,1974,"Faith Hubley, John Hubley",,,72380
Perukmakaren och flickan,The Periwig-Maker,1999,Steffen Schäffler,,,239797
Crac,Crac,1981,Frédéric Back,,,82209
Sjuksal 13,Ward 13,2003,Peter Cornwell,,,379000
Een griekse tragedie ,Een griekse tragedie ,1985,Nicole Van Goethem,,,91152
Jumping,Jumping,1984,Osamu Tezuka,,,87521
Push Comes to Shove,Push Comes to Shove,1991,Bill Plympton,,,102730
Gräshoppan och myrorna,The Grasshopper and the Ants,1934,Wilfred Jackson,,,25200
Rubicon,Rubicon,1997,Gil Alkabetz,,,120040
Le Building,Le Building,2005,"Marco Nguyen, Pierre Perifel, Xavier Ramonède, Olivier Staphylas, Rèmi Zaarour",,,476282
"Älskar, älskar inte",Loves Me... Loves Me Not,1992,Jeff Newitt,,,104768
Life in a Tin,Una vita in scatola,1967,Bruno Bozzetto,,,376964
"Det våras för världshistorien, del 1",History of the World - Part I,1981,Mel Brooks,,,82517
Det grovmaskiga nätet,Det grovmaskiga nätet,1999,Martin Asphaug,,,178140
Ängeln på sjunde trappsteget,Angela's Ashes,1999,Alan Parker,,,145653
Den assimilerade vildhunden,Den assimilerade vildhunden,2003,Jakob Berglund,,,
Dårfinkar & dönickar,Dårfinkar & dönickar,1988,Rumle Hammerich,,,224472
Identity,Identity,2003,James Mangold,,,309698
Guard Dog,Guard Dog,2004,Bill Plympton,,,430159
Cousin,Cousin,1998,Adam Elliot,,,211319
Cavallette,Cavallette,1990,Bruno Bozzetto,,,99696
Every Child,Every Child,1979,Eugene Fedorenko,,,79126
Bingo,Bingo,1998,Chris Landreth,,,193771
Calypso Is Like So,Calypso Is Like So,2003,Bruno Collet,,,437116
Arkelope!,Arkelope!,1994,Roslyn Schwartz,,,218003
George and Rosemary,George and Rosemary,1987,"David Fine, Alison Snowden",,,93084
The Sandman,The Sandman,1991,Paul Berry,,,105311
The Big Snit,The Big Snit,1985,Richard Condie,,,88805
Tango,Tango,1981,Zbigniew Rybczynski,,,84764
Det blev en utomjording,Strange Invaders,2001,Cordell Barker,,,296874
Special Delivery,Special Delivery,1978,"Eunice Macaulay, John Weldon",,,206312
Babas bilar,Babas bilar,2006,Rafael Edholm,,,473609
Flugan,A légy,1980,Ferenc Rofusz,,,81040
Rocks,Das Rad,2003,"Chris Stenner, Heidi Wittlinger, Arvid Uibel",,,330801
Gopher Broke,Gopher Broke,2004,Jeff Fowler,,,438064
Far och dotter,Father and Daughter,2000,Michael Dudok de Wit,,,279079
Bunny,Bunny,1998,Chris Wedge,,,179011
Blackfly,Blackfly,1991,Christopher Hinton,,,101468
"Pojken, kriget och paketet",Birthday Boy,2004,Park Sejong,,,435933
Balance,Balance,1989,"Christoph Lauenstein, Wolfgang Lauenstein",,,96880
Huset vid världens ände,Au bout du monde,1999,Konstantin Bronzit,,,222743
25 sätt att sluta röka,25 Ways to Quit Smoking,1989,Bill Plympton,,,96739
Scary Movie 4,Scary Movie 4,2006,David Zucker,,,362120
Hemma bäst,Failure to Launch,2006,Tom Dey,,,427229
Inside Man,Inside Man,2006,Spike Lee,,,454848
Heartbreak Hotel,Heartbreak Hotel,2006,Colin Nutley,,,785002
Storm,Storm,2005,"Måns Mårlind, Björn Stein",,,446476
The Hobbit,The Hobbit,1977,"Jules Bass, Arthur Rankin Jr",,,77687
Grind,Grind,2003,Casey La Scala,,,338077
Supervixens,Supervixens,1975,Russ Meyer,,,73768
Guinea Pig 2: Flowers of Flesh and Blood,Za ginipiggu 2: Chiniku no hana,1985,Hideshi Hino,,,161635
Jan Långben åker skidor,The Art of Skiing,1941,Jack Kinney,,,33356
Jan Långben lär sig simma,How to Swim,1942,Jack Kinney,,,34875
Långben och trollkarlens koffert,Baggage Buster,1941,Jack Kinney,,,33371
Långben och Wilbur,Goofy and Wilbur,1939,Dick Huemer,,,31386
Jan Långben som djurtämjare,The Big Wash,1948,Clyde Geronimi,,,40163
Motor Psycho,Motor Psycho,1965,Russ Meyer,,,59474
"Faster, Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!",1965,Russ Meyer,,,59170
Janne Långben - The Movie,A Goofy Movie,1995,Kevin Lima,,,113198
Document of the Dead,Document of the Dead,1985,Roy Frumkes,,,173771
The Amityville Horror,The Amityville Horror,2005,Andrew Douglas,,,384806
En vägg av hemligheter,Wall of Secrets,2003,Francois Gingras,,,386108
Sobhraj - seriemördaren,Sobhraj: Snake,2004,Jan Wellman,,,446469
Efraim sjunger på olika ställen,Efraim sjunger på olika ställen,2005,"Pontus Joneström, Gustaf Lindström, Petter Häggström",,,
Svenskjävlar,Svenskjävlar,2005,Othman Karim,,,
Sinbads fantastiska resa,The Golden Voyage of Sinbad,1973,Gordon Hessler,,,71569
Walking,En marchant,1969,Ryan Larkin,,,64284
Chasing Jason,Chasing Jason,2004,Tracy Morse,,,416636
Your Studio and You,Your Studio and You,1995,Trey Parker,,,159144
Emanuelle in America,Emanuelle in America,1977,Joe D\'Amato,,,74473
Tror ni på spöken?,Lonesome Ghosts,1937,Burt Gillett,,,29161
One: A Space Odyssey,One: A Space Odyssey,2004,"Tim Drage, Tony Mines",,,
Jiu Jitsu the Movie,Jiu Jitsu the Movie,2005,Fabrice Müller,,,
Buffalo Dance,Buffalo Dance,1894,,,,309402
Hen Hop ,Hen Hop,1942,Norman McLaren,,,34841
Air!,Air!,1972,Paul Driessen,,,225039
The Hat,Le Chapeau,2000,Michèle Cournoyer,,,262327
The Cat Came Back,The Cat Came Back,1988,Cordell Barker,,,94847
Foutaises,Foutaises,1989,Jean-Pierre Jeunet,,,80755
Benknäckargänget - Krossa dem,The Longest Yard,2005,Peter Segal,,,398165
Lilla syster Kanin,Lilla syster Kanin,1988,"Jan Gustavsson, Eva Eriksson, Ulf Nilsson",,,234113
Star Trek II: Khans vrede,Star Trek II: The Wrath of Khan,1982,Nicholas Meyer,,,84726
The Beast of Yucca Flats,The Beast of Yucca Flats,1961,Coleman Francis,,,54673
Snövit och de sju dvärgarna,Snow White and the Seven Dwarfs,1937,David Hand,,,29583
Här har du ditt liv,Här har du ditt liv,1966,Jan Troell,,,60529
Cybertracker,Cybertracker,1994,Richard Pepin,,,109515
De levande döda del 2,Return of the Living Dead Part II,1987,Ken Wiederhorn,,,95990
Brain Damage,Brain Damage ,1988,Frank Henenlotter,,,94793
Eurotrip,EuroTrip,2004,"Jeff Schaffer, Alec Berg, David Mandel",,,356150
Födelsedagen,Sixteen Candles,1984,John Hughes,,,88128
Mike's New Car,Mike's New Car,2002,"Pete Docter, Roger Gould",,,323250
Mondo Topless,Mondo Topless,1966,Russ Meyer,,,60712
Enmansorkester,One Man Band,2005,"Mark Andrews, Andrew Jimenez",,,479113
Kalle Anka som bonde,Old MacDonald Duck ,1941,Jack King,,,33974
Kalle Anka som moralens väktare,Truant Officer Donald,1941,Jack King,,,34314
Kalle Ankas sömnproblem,Early to Bed,1941,Jack King,,,
Kalle Anka på tivoli,A Good Time for a Dime,1941,Dick Lundy,,,33671
Kalle Anka i hönshuset,Golden Eggs,1941,Wilfred Jackson,,,33668
Kalle Anka som brandsoldat,Fire Chief,1940,Jack King,,,32470
Kalle Anka som fönsterputsare,Window Cleaners,1940,Jack King,,,33268
Kalle Ankas aktersnurra,Put-Put Troubles,1940,Riley Thomson,,,32954
Kalle Ankas frieri,Mr. Duck Steps Out,1940,Jack King,,,32814
Tom i bollen 2,Caddyshack II,1988,Allan Arkush,,,94824
Den virrige kyparen,The Absent-Minded Waiter,1977,Carl Gottlieb,,,75626
Nalle Puhs äventyr,The Many Adventures of Winnie the Pooh,1977,"Wolfgang Reitherman, John Lounsbery",,,76363
Djungelboken,The Jungle Book,1967,Wolfgang Reitherman,,,61852
Tjorven och Mysak,Tjorven och Mysak,1966,Olle Hellbom,,,61097
Tjorven och Skrållan,Tjorven och Skrållan,1965,Olle Hellbom,,,59813
"Tjorven, Båtsman och Moses","Tjorven, Båtsman och Moses",1964,Olle Hellbom,,,58666
Min far är boxare,Min far er bokser,2005,Morten Giese,,,453381
Askungen,Cinderella,1950,"Clyde Geronimi, Wilfred Jackson",,,42332
Bödeln från Sibirien,Ilsa the Tigress of Siberia ,1977,Jean LaFleur,,,78398
På sista versen - En liten film om döden,På sista versen - En liten film om döden,1999,Tomas Alfredson,,,1290732
Génesis,Génesis,1998,Nacho Cerdà,,,165297
Kalle Anka som klisterprins,Billposters,1940,Clyde Geronimi,,,32251
Kalle Ankas hundbad,Donald's Dog Laundry,1940,Jack King,,,32401
Kalle Anka som byggjobbare,The Riveter,1940,Dick Lundy,,,32992
Kalle Anka som autografjägare,The Autograph Hound,1939,Jack King,,,31064
Kalle Anka som polis,Officer Duck,1939,Clyde Geronimi,,,31744
Kalle Ankas pingvin,Donald's Penguin,1939,Jack King,,,31243
Kalle Anka som amiral,Sea Scouts,1939,Dick Lundy,,,31905
Kalle Ankas kusin,Donald's Cousin Gus,1939,Jack King,,,31241
Kalle Ankas lyckodag,Donald's Lucky Day,1939,Jack King,,,31242
Kalle Anka spelar golf,Donald's Golf Game,1938,Jack King,,,30069
Kalle Anka på rävjakt,The Fox Hunt,1938,Ben Sharpsteen,,,30152
Lägerlivets fröjder,Good Scouts,1938,Jack King,,,30196
Kalle Anka vid Nordpolen,Polar Trappers,1938,Ben Sharpsteen,,,30595
Rhinestone,Rhinestone,1984,Bob Clark,,,88001
Föräldrafällan,The Parent Trap,1998,Nancy Meyers,,,120783
Den långa färden,Lonesome Dove,1989,Simon Wincer,,,96639
Kalles brorsöner,Donald's Nephews,1938,Jack King,,,30070
Rubber Johnny,Rubber Johnny,2005,Chris Cunningham,,,441787
The Sky-Colored Seed,Sora Iro no Tane,1992,Hayao Miyazaki,,,
Kalle Ankas bättre jag,Donald's Better Self,1938,Jack King,,,30068
Moderna uppfinningar,Modern Inventions,1937,Jack King,,,29257
Kalle och Pluto,Donald and Pluto,1936,Ben Sharpsteen,,,27538
Den kloka lilla hönan,The Wise Little Hen,1934,Wilfred Jackson,,,25997
Baraka,Baraka,1992,Ron Fricke,,,103767
Star Trek,Star Trek: The Motion Picture,1979,Robert Wise,,,79945
Pokerlandet,Pokerlandet,2005,Henrik Georgsson,,,928062
Emma,Emma,1996,Douglas McGrath,,,116191
Evil Aliens,Evil Aliens,2005,Jake West,,,383353
Mannen som ville möblera världen,Mannen som ville möblera världen,2003,Malcolm Dixelius,,,
Poseidon,Poseidon,2006,Wolfgang Petersen,,,409182
Daredevil,Daredevil,2003,Mark Steven Johnson,,,287978
Mannen i vaxkabinettet,The Tomb of Ligeia,1965,Roger Corman,,,59821
The Fast and the Furious,The Fast and the Furious,2001,Rob Cohen,,,232500
Zombie Flesh Eaters 2,Zombi 3,1988,"Bruno Mattei, Lucio Fulci, Claudio Fragasso",,,96511
Grease,Grease,1978,Randal Kleiser,,,77631
Dr. Strangelove eller: Hur jag slutade ängslas och lärde mig älska bomben,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,,,57012
Mary Reilly,Mary Reilly,1996,Stephen Frears,,,117002
Triffidernas dag,The Day of the Triffids,1962,Steve Sekely,,,55894
Nico,Above the Law,1988,Andrew Davis,,,94602
Jersey Girl,Jersey Girl,2004,Kevin Smith,,,300051
Barbarella,Barbarella,1968,Roger Vadim,,,62711
Snickeriet,Snickeriet,1993,"Margareta Hjelm, Benny Wilhelmson",,,
Raskens,Raskens,1976,Per Sjöstrand,,,74043
Orgazmo,Orgazmo,1997,Trey Parker,,,124819
Fästmön från Afrika,Donald's Ostrich,1937,Jack King,,,28800
Kalle Anka som fyrvaktare,Lighthouse Keeping,1946,Jack Hannah,,,
Der Fuehrer's Face,Der Fuehrer's Face,1942,Jack Kinney,,,35794
Kalle Anka på äggjakt,Contrary Condor,1944,Jack King,,,37612
Kalle Anka som timmerhuggare,Timber,1941,Jack King,,,34295
Kalle Anka spelar ishockey,The Hockey Champ,1939,Jack King,,,31431
Kalle Anka som hissgrabb,Bellboy Donald,1942,Jack King,,,34502
Kalle Ankas snöbollskrig,Donald's Snow Fight,1942,Jack King,,,34670
Kalle Anka och gorillan,Donald Duck and the Gorilla,1944,Jack King,,,36768
Don Kalle,Don Donald,1937,Ben Sharpsteen,,,28796
Kalle Anka gräddar våfflor,Chef Donald,1941,Jack King,,,33460
MirrorMask,MirrorMask,2005,Dave McKean,,,366780
Rounders - sista spelet,Rounders  ,1998,John Dahl,,,128442
Veckopeng eller kyss?,Veckopeng eller kyss?,2004,Malou Schultzberg,,,
Seven Swords,Chat gim,2005,Tsui Hark,,,429078
Grizzly Man,Grizzly Man,2005,Werner Herzog,,,427312
Sound of Music,The Sound of Music,1965,Robert Wise,,,59742
Innesluten,Innesluten,2003,Fredrik Edfeldt,,,
Lucky Number Slevin,Lucky Number Slevin,2006,Paul McGuigan,,,425210
X-Men: The Last Stand,X-Men: The Last Stand ,2006,Brett Ratner,,,376994
Varannan vecka,Varannan vecka,2006,"Felix Herngren, Måns Herngren, Hannes Holm, Hans Ingemansson",,,483195
Tristan & Isolde,Tristan + Isolde,2006,Kevin Reynolds,,,375154
Broken Arrow,Broken Arrow,1996,John Woo,,,115759
Bad Boy Bubby,Bad Boy Bubby,1993,Rolf de Heer,,,106341
Kustom Kar Kommandos,Kustom Kar Kommandos,1965,Kenneth Anger,,,59369
The Adventures of André and Wally B.,The Adventures of André and Wally B.,1984,Alvy Ray Smith,,,86855
Den tunna bruna linjen,Den tunna bruna linjen,2006,"Kalle Wahlström, Filip Tellander",,,
Tjejsnack,Tjejsnack,2006,"Hanna Heilborn, David Aronowitsch",,,
Bananfesten,Bananfesten,2006,Amir Chamdin,,,
Nattbad,Nattbad,2006,Ruben Östlund,,,
Within the Woods,Within the Woods ,1978,Sam Raimi,,,78503
Skogens väktare,The Watcher in the Woods,1980,John Hough,,,81738
Drömtjejen,Weird Science,1985,John Hughes,,,90305
Johann Sebastian Bach: Fantasia G-Mol,Johann Sebastian Bach: Fantasia G-Mol,1965,Jan Svankmajer,,,59335
Shutter,Shutter,2004,"Parkpoom Wongpoom, Banjong Pisanthanakun",,,440803
Nu tillhör jag havet,Nu tillhör jag havet,2004,Sebastian Näslund,,,
The Call of Cthulhu,The Call of Cthulhu,2005,Andrew Leman,,,478988
Secretary,Secretary,2002,Steven Shainberg,,,274812
Sanningen om Rödluvan,Hoodwinked,2005,"Cory Edwards, Todd Edwards, Tony Leech",,,443536
V för Vendetta,V for Vendetta,2005,James McTeigue,,,434409
Ron Jeremy - porrstjärna,Pornstar: The Legend of Ron Jeremy ,2001,Scott J Gill,,,282856
Fallen Art,Sztuka spadania,2004,Tomek Baginski,,,440846
Vem ska trösta Knyttet?,Vem ska trösta Knyttet?,1980,Johan Hagelbäck,,,207815
